region;day;time_slot;pv_prod (W/m2)
grand_nord;01/01/2014;1;0.0
grand_nord;01/01/2014;2;0.0
grand_nord;01/01/2014;3;0.0
grand_nord;01/01/2014;4;0.0
grand_nord;01/01/2014;5;0.0
grand_nord;01/01/2014;6;0.0
grand_nord;01/01/2014;7;0.0
grand_nord;01/01/2014;8;0.0
grand_nord;01/01/2014;9;0.00486411
grand_nord;01/01/2014;10;0.628389
grand_nord;01/01/2014;11;4.5856
grand_nord;01/01/2014;12;10.4023
grand_nord;01/01/2014;13;17.6369
grand_nord;01/01/2014;14;29.1448
grand_nord;01/01/2014;15;23.3015
grand_nord;01/01/2014;16;10.5344
grand_nord;01/01/2014;17;4.27969
grand_nord;01/01/2014;18;0.442971
grand_nord;01/01/2014;19;0.0
grand_nord;01/01/2014;20;0.0
grand_nord;01/01/2014;21;0.0
grand_nord;01/01/2014;22;0.0
grand_nord;01/01/2014;23;0.0
grand_nord;01/01/2014;24;0.0
grand_nord;02/01/2014;1;0.0
grand_nord;02/01/2014;2;0.0
grand_nord;02/01/2014;3;0.0
grand_nord;02/01/2014;4;0.0
grand_nord;02/01/2014;5;0.0
grand_nord;02/01/2014;6;0.0
grand_nord;02/01/2014;7;0.0
grand_nord;02/01/2014;8;0.0
grand_nord;02/01/2014;9;0.00733111
grand_nord;02/01/2014;10;1.88176
grand_nord;02/01/2014;11;10.5013
grand_nord;02/01/2014;12;21.286
grand_nord;02/01/2014;13;47.0782
grand_nord;02/01/2014;14;78.4232
grand_nord;02/01/2014;15;56.6026
grand_nord;02/01/2014;16;24.162
grand_nord;02/01/2014;17;8.27906
grand_nord;02/01/2014;18;1.59454
grand_nord;02/01/2014;19;0.000326775
grand_nord;02/01/2014;20;0.0
grand_nord;02/01/2014;21;0.0
grand_nord;02/01/2014;22;0.0
grand_nord;02/01/2014;23;0.0
grand_nord;02/01/2014;24;0.0
grand_nord;03/01/2014;1;0.0
grand_nord;03/01/2014;2;0.0
grand_nord;03/01/2014;3;0.0
grand_nord;03/01/2014;4;0.0
grand_nord;03/01/2014;5;0.0
grand_nord;03/01/2014;6;0.0
grand_nord;03/01/2014;7;0.0
grand_nord;03/01/2014;8;0.0
grand_nord;03/01/2014;9;0.000595205
grand_nord;03/01/2014;10;4.64364
grand_nord;03/01/2014;11;30.4876
grand_nord;03/01/2014;12;59.3611
