site_id;scenario;time_slot;cons (kW)
1;1;1;73.24691122453847
1;1;2;64.26315114725945
1;1;3;55.43073659543004
1;1;4;45.97016916710394
1;1;5;47.201579866908354
1;1;6;56.013161582311696
1;1;7;51.16000512808281
1;1;8;48.159070445546895
1;1;9;49.0072165839813
1;1;10;46.55140157658733
1;1;11;50.03983953871105
1;1;12;46.51089121308972
1;1;13;52.55986738539332
1;1;14;46.73457401135336
1;1;15;51.60688624004197
1;1;16;50.294380277155
1;1;17;45.78081023708438
1;1;18;44.40871267232743
1;1;19;53.97970531412489
1;1;20;47.51202267089632
1;1;21;45.50916346658396
1;1;22;51.511591852311206
1;1;23;47.157529039259636
1;1;24;48.69729553260505
1;1;25;51.75689011591852
1;1;26;60.9656001049468
1;1;27;71.53012152363686
1;1;28;77.24338715832654
1;1;29;85.53891827267087
1;1;30;85.10243494490291
1;1;31;88.51477156179936
1;1;32;92.12030571721603
1;1;33;88.4634161975862
1;1;34;86.36932482230594
1;1;35;82.73867200543815
1;1;36;87.26062735534033
1;1;37;86.39358631875207
1;1;38;85.99884319992368
1;1;39;87.36740030052948
1;1;40;74.63000286218573
1;1;41;88.26578376186616
1;1;42;95.6980751800792
1;1;43;85.320788412918
1;1;44;81.53558501884272
1;1;45;86.8671513499976
1;1;46;92.686258228784
1;1;47;82.80068603014837
1;1;48;75.80621958927635
1;2;1;65.69249242713352
1;2;2;75.42910425511616
1;2;3;57.86638959118446
1;2;4;50.123655368983435
1;2;5;51.18888786194724
1;2;6;52.908584470257104
1;2;7;50.56822586223346
1;2;8;51.49232427372036
1;2;9;52.9603125149072
1;2;10;45.4761067118256
1;2;11;49.082013547679246
1;2;12;44.946639615036005
1;2;13;55.7291418213042
1;2;14;48.52970114010399
1;2;15;49.058870092544
1;2;16;46.35250202738157
1;2;17;50.76831798883747
1;2;18;51.36315323426989
1;2;19;48.374330665935226
1;2;20;45.325022062681846
1;2;21;47.96851893812908
1;2;22;51.07719553499022
1;2;23;50.54422524209321
1;2;24;50.80875381624767
1;2;25;55.94973137194105
1;2;26;61.36023141964414
1;2;27;71.23782825692886
1;2;28;71.70516952487715
1;2;29;84.19480900872965
1;2;30;78.91504525831226
1;2;31;85.91487829747649
1;2;32;86.54042241091446
1;2;33;91.57954640318655
1;2;34;90.54237674712589
1;2;35;87.45695540953106
1;2;36;85.30140903019604
1;2;37;88.08644993560078
1;2;38;86.25766976339263
1;2;39;83.99069193340648
1;2;40;86.77208057052903
1;2;41;82.45312425463912
1;2;42;84.57255789963267
1;2;43;85.05134045699565
1;2;44;100.0
1;2;45;87.55735551924819
1;2;46;77.1545401421552
1;2;47;79.95378017220814
1;2;48;76.05807702857415
1;3;1;73.48080546677478
1;3;2;62.680302795401424
1;3;3;54.55262694986405
1;3;4;55.46934628869912
1;3;5;55.54362149978533
1;3;6;46.29440114725946
1;3;7;47.41803266469493
1;3;8;52.078848745408564
1;3;9;52.81179936077851
1;3;10;48.956532044554685
1;3;11;48.28656442303107
1;3;12;49.944955099460955
1;3;13;44.89096115775414
1;3;14;51.126575692887464
1;3;15;45.3407491771216
1;3;16;45.53495295282163
1;3;17;52.6896347135429
1;3;18;49.325672017363914
1;3;19;50.442669823021504
1;3;20;51.60334577589087
1;3;21;45.481361505986726
1;3;22;47.23389126079282
1;3;23;48.48993613748033
1;3;24;47.883435994371034
1;3;25;55.23310415970995
1;3;26;59.57762635357532
1;3;27;67.02929715451032
1;3;28;64.61116013929303
1;3;29;73.3071363831513
1;3;30;90.317501371464
1;3;31;91.88935565043172
1;3;32;91.80695600581977
1;3;33;85.85491401516956
1;3;34;74.42081733291988
1;3;35;84.10674462147595
1;3;36;75.32393383580595
1;3;37;82.95102531841817
1;3;38;80.09211915040785
1;3;39;82.4703420908267
1;3;40;76.71563439154701
1;3;41;81.99763422458616
1;3;42;85.39610712922767
1;3;43;93.85550583170345
1;3;44;82.08882912751038
1;3;45;89.64283797643469
1;3;46;87.4499117492725
1;3;47;89.1010351571817
1;3;48;72.65759164957302
1;4;1;75.64876210466059
1;4;2;71.8296820588656
1;4;3;59.10678188951963
1;4;4;47.429921170633975
1;4;5;53.932412166674595
